feedback_id,source,timestamp,text,state,district,service,category,language,experience,urgency,issue_date,action_requested,data_type
SURVEY_000001,Survey,2026-07-18 18:27:00,The waiting time at the public health facility near Gurugram is very long. I request the concerned authority to take action.,Haryana,Gurugram,Healthcare,Healthcare,English,Poor,Low,2026-07-13,No,synthetic
SURVEY_000002,Survey,2025-09-11 18:17:00,कृपया इस समस्या पर ध्यान दें। A public service issue near Bishnupur has remained unresolved for several days.,Manipur,Bishnupur,Other Public Services,Other Public Services,Hindi,Very Poor,Low,2025-08-14,Yes,synthetic
SURVEY_000003,Survey,2026-01-31 11:54:00,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். The area around Hubballi needs more regular cleaning and waste collection. Please look into this issue.,Karnataka,Hubballi,Sanitation & Waste,Sanitation & Waste,Tamil,Poor,Low,2026-01-25,Yes,synthetic
SURVEY_000004,Survey,2026-02-11 06:45:00,कृपया इस समस्या पर ध्यान दें। Buses on the route near Anantnag are irregular and commuters are waiting for a long time. I request the concerned authority to take action.,Jammu and Kashmir,Anantnag,Public Transport,Public Transport,Hindi,Very Good,Medium,2026-01-06,Already resolved,synthetic
SURVEY_000005,Survey,2025-07-09 11:13:00,We have been waiting for an electricity connection or service update in Bhubaneswar. Please look into this issue.,Odisha,Bhubaneswar,Electricity,Electricity,English,Good,Medium,2025-06-16,Already resolved,synthetic
SURVEY_000006,Survey,2026-08-08 21:20:00,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. Power cuts in the Belagavi area are frequent and are affecting daily work. Please look into this issue.,Karnataka,Belagavi,Electricity,Electricity,Malayalam,Poor,Medium,2026-07-25,Yes,synthetic
SURVEY_000007,Survey,2025-09-16 15:25:00,कृपया इस समस्या पर ध्यान दें। Residents in Kota need easier access to primary healthcare services. I request the concerned authority to take action.,Rajasthan,Kota,Healthcare,Healthcare,Hindi,Very Poor,High,2025-08-06,No,synthetic
SURVEY_000008,Survey,2026-01-20 04:32:00,The online government service for residents of Nongpoh needs better reliability. Please look into this issue.,Meghalaya,Nongpoh,Government Documents,Government Documents,English,Average,High,2026-01-06,Yes,synthetic
SURVEY_000009,Survey,2026-05-28 08:35:00,There has been an irregular water supply in the Faridabad area for the past few days. Please look into this issue.,Haryana,Faridabad,Water Supply,Water Supply,English,Good,Medium,2026-04-25,Yes,synthetic
SURVEY_000010,Survey,2025-10-29 05:32:00,"Garbage has not been collected regularly near Kavaratti, and waste is accumulating.",Lakshadweep,Kavaratti,Sanitation & Waste,Sanitation & Waste,English,Very Poor,Medium,2025-09-27,Already resolved,synthetic
SURVEY_000011,Survey,2025-02-08 10:31:00,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. There has been an irregular water supply in the Ludhiana area for the past few days. This needs attention from the concerned department.,Punjab,Ludhiana,Water Supply,Water Supply,Malayalam,Average,Low,2025-01-01,Already resolved,synthetic
SURVEY_000012,Survey,2025-04-15 04:08:00,"Vehicles are frequently parked on the road near Ludhiana, causing unnecessary congestion.",Punjab,Ludhiana,Roads & Traffic,Roads & Traffic,English,Poor,Medium,2025-03-12,No,synthetic
SURVEY_000013,Survey,2025-09-08 09:25:00,There is a delay in processing document applications in Mangaluru. I hope the issue can be resolved soon.,Karnataka,Mangaluru,Government Documents,Government Documents,English,Good,Medium,2025-07-25,Yes,synthetic
SURVEY_000014,Survey,2025-08-14 02:45:00,कृपया इस समस्या पर ध्यान दें। Power cuts in the New Delhi area are frequent and are affecting daily work. Please look into this issue.,Delhi,New Delhi,Electricity,Electricity,Hindi,Poor,Medium,2025-08-14,Yes,synthetic
