Timestamp,State,City/District,Public service,Experience,Tell us about your experience,Urgency,Issue date,Language,Would you like the concerned authority to take action?
2026-07-18 18:27:00,Haryana,Gurugram,Healthcare,Poor,The waiting time at the public health facility near Gurugram is very long. I request the concerned authority to take action.,Low,2026-07-13,English,No
2025-09-11 18:17:00,Manipur,Bishnupur,Other Public Services,Very Poor,कृपया इस समस्या पर ध्यान दें। A public service issue near Bishnupur has remained unresolved for several days.,Low,2025-08-14,Hindi,Yes
2026-01-31 11:54:00,Karnataka,Hubballi,Sanitation & Waste,Poor,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். The area around Hubballi needs more regular cleaning and waste collection. Please look into this issue.,Low,2026-01-25,Tamil,Yes
2026-02-11 06:45:00,Jammu and Kashmir,Anantnag,Public Transport,Very Good,कृपया इस समस्या पर ध्यान दें। Buses on the route near Anantnag are irregular and commuters are waiting for a long time. I request the concerned authority to take action.,Medium,2026-01-06,Hindi,Already resolved
2025-07-09 11:13:00,Odisha,Bhubaneswar,Electricity,Good,We have been waiting for an electricity connection or service update in Bhubaneswar. Please look into this issue.,Medium,2025-06-16,English,Already resolved
2026-08-08 21:20:00,Karnataka,Belagavi,Electricity,Poor,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. Power cuts in the Belagavi area are frequent and are affecting daily work. Please look into this issue.,Medium,2026-07-25,Malayalam,Yes
2025-09-16 15:25:00,Rajasthan,Kota,Healthcare,Very Poor,कृपया इस समस्या पर ध्यान दें। Residents in Kota need easier access to primary healthcare services. I request the concerned authority to take action.,High,2025-08-06,Hindi,No
2026-01-20 04:32:00,Meghalaya,Nongpoh,Government Documents,Average,The online government service for residents of Nongpoh needs better reliability. Please look into this issue.,High,2026-01-06,English,Yes
2026-05-28 08:35:00,Haryana,Faridabad,Water Supply,Good,There has been an irregular water supply in the Faridabad area for the past few days. Please look into this issue.,Medium,2026-04-25,English,Yes
2025-10-29 05:32:00,Lakshadweep,Kavaratti,Sanitation & Waste,Very Poor,"Garbage has not been collected regularly near Kavaratti, and waste is accumulating.",Medium,2025-09-27,English,Already resolved
2025-02-08 10:31:00,Punjab,Ludhiana,Water Supply,Average,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. There has been an irregular water supply in the Ludhiana area for the past few days. This needs attention from the concerned department.,Low,2025-01-01,Malayalam,Already resolved
2025-04-15 04:08:00,Punjab,Ludhiana,Roads & Traffic,Poor,"Vehicles are frequently parked on the road near Ludhiana, causing unnecessary congestion.",Medium,2025-03-12,English,No
2025-09-08 09:25:00,Karnataka,Mangaluru,Government Documents,Good,There is a delay in processing document applications in Mangaluru. I hope the issue can be resolved soon.,Medium,2025-07-25,English,Yes
2025-08-14 02:45:00,Delhi,New Delhi,Electricity,Poor,कृपया इस समस्या पर ध्यान दें। Power cuts in the New Delhi area are frequent and are affecting daily work. Please look into this issue.,Medium,2025-08-14,Hindi,Yes
2026-09-07 00:00:00,Sikkim,Gangtok,Government Documents,Poor,The online government service for residents of Gangtok needs better reliability.,Medium,2026-08-08,English,Yes
2025-04-09 20:41:00,Madhya Pradesh,Bhopal,Public Transport,Good,Buses on the route near Bhopal are irregular and commuters are waiting for a long time. This needs attention from the concerned department.,Medium,2025-02-25,English,Already resolved
2025-09-17 14:51:00,Gujarat,Surat,Electricity,Poor,Power cuts in the Surat area are frequent and are affecting daily work. I hope the issue can be resolved soon.,Medium,2025-09-13,English,Yes
2025-03-12 12:00:00,Andhra Pradesh,Visakhapatnam,Electricity,Poor,There appears to be an issue with the electricity bill for the Visakhapatnam area. Please provide an update on the issue.,Medium,2025-03-02,English,Yes
2025-04-07 23:34:00,Odisha,Berhampur,Government Documents,Good,My government document application from Berhampur has been delayed beyond the expected time.,Medium,2025-03-01,English,Yes
2026-06-10 05:04:00,Bihar,Patna,Other Public Services,Average,कृपया इस समस्या पर ध्यान दें। A public service issue near Patna has remained unresolved for several days. I request the concerned authority to take action.,High,2026-06-05,Hindi,Yes
2026-09-07 00:00:00,Uttar Pradesh,Lucknow,Other Public Services,Poor,कृपया इस समस्या पर ध्यान दें। The complaint handling process in Lucknow could be faster and easier to track. This needs attention from the concerned department.,Medium,2026-08-21,Hindi,Yes
2025-03-16 14:39:00,Meghalaya,Tura,Education,Poor,The public school near Tura needs improvements to basic facilities. I request the concerned authority to take action.,Medium,2025-03-16,English,Already resolved
2025-07-09 17:45:00,Chandigarh,Chandigarh,Water Supply,Very Good,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. A water pipeline appears to be leaking near Chandigarh and needs repair. I hope the issue can be resolved soon.,High,2025-06-11,Telugu,Yes
2026-07-30 08:18:00,Andhra Pradesh,Guntur,Public Transport,Very Good,Public transport near Guntur is overcrowded during morning and evening peak hours. I request the concerned authority to take action.,Low,2026-07-21,English,Yes
2025-10-13 00:21:00,Mizoram,Champhai,Police & Public Safety,Poor,Traffic enforcement around Champhai should be improved during busy hours. This needs attention from the concerned department.,High,2025-10-11,English,Yes
2025-07-06 01:53:00,Karnataka,Hubballi,Government Documents,Good,There is a delay in processing document applications in Hubballi. I request the concerned authority to take action.,Medium,2025-06-02,English,Already resolved
2026-01-15 21:15:00,West Bengal,Howrah,Roads & Traffic,Poor,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். The road near Howrah has potholes and becomes difficult to use during peak hours. I hope the issue can be resolved soon.,High,2026-01-02,Tamil,Already resolved
2025-02-06 23:59:00,Uttarakhand,Haridwar,Electricity,Good,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். We have been waiting for an electricity connection or service update in Haridwar.,Critical,2025-01-26,Tamil,Already resolved
2026-05-11 06:52:00,Uttarakhand,Haridwar,Healthcare,Poor,Residents in Haridwar need easier access to primary healthcare services. I request the concerned authority to take action.,High,2026-04-27,English,Yes
2026-02-05 16:25:00,Manipur,Imphal,Electricity,Average,We have been waiting for an electricity connection or service update in Imphal.,Medium,2025-12-26,English,No
2026-01-09 13:38:00,Haryana,Panipat,Water Supply,Average,There has been an irregular water supply in the Panipat area for the past few days. I hope the issue can be resolved soon.,Critical,2025-12-20,English,Yes
2025-08-13 13:04:00,Madhya Pradesh,Jabalpur,Roads & Traffic,Good,"ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. Street lights are not working properly near Jabalpur, making the road unsafe after dark. Please look into this issue.",Low,2025-07-21,Malayalam,Yes
2026-03-08 23:57:00,Punjab,Amritsar,Education,Poor,कृपया इस समस्या पर ध्यान दें। Students in Amritsar are facing delays in scholarship-related services. This needs attention from the concerned department.,High,2026-01-24,Hindi,Yes
2025-12-25 14:28:00,Uttar Pradesh,Prayagraj,Roads & Traffic,Poor,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். Traffic congestion around Prayagraj is getting worse and better traffic management is needed. I request the concerned authority to take action.,Low,2025-11-26,Tamil,Yes
2025-10-11 09:14:00,Goa,Margao,Government Documents,Good,The certificate service near Margao requires too many visits and could be made easier. Please look into this issue.,Medium,2025-08-29,English,Already resolved
2025-09-02 22:24:00,Meghalaya,Tura,Other Public Services,Good,Residents in Tura need a clearer way to follow up on civic service complaints. I request the concerned authority to take action.,Low,2025-07-19,English,Yes
2026-08-09 03:29:00,Andhra Pradesh,Visakhapatnam,Education,Poor,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. Students in Visakhapatnam are facing delays in scholarship-related services.,High,2026-07-25,Kannada,Yes
2026-08-13 05:47:00,Dadra and Nagar Haveli and Daman and Diu,Silvassa,Police & Public Safety,Average,कृपया इस समस्या पर ध्यान दें। The public safety issue reported near Silvassa needs quicker follow-up. I request the concerned authority to take action.,High,2026-07-16,Hindi,Already resolved
2025-10-27 10:57:00,Nagaland,Mokokchung,Police & Public Safety,Average,The police response near Mokokchung was delayed and the issue needs attention. I request the concerned authority to take action.,Medium,2025-10-06,English,Yes
2026-03-05 06:53:00,Tripura,Dharmanagar,Water Supply,Good,"Residents near Dharmanagar are facing water shortages, especially in the morning. I hope the issue can be resolved soon.",Low,2026-03-02,English,Yes
2026-04-09 23:47:00,Arunachal Pradesh,Pasighat,Education,Average,Students in Pasighat are facing delays in scholarship-related services. This needs attention from the concerned department.,Critical,2026-03-06,English,Yes
2026-05-02 19:34:00,West Bengal,Durgapur,Roads & Traffic,Average,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். The road near Durgapur has potholes and becomes difficult to use during peak hours.,Medium,2026-04-24,Tamil,No
2025-09-03 10:21:00,Arunachal Pradesh,Itanagar,Education,Poor,Parents in Itanagar have reported delays in receiving information from the school. Please provide an update on the issue.,Medium,2025-08-05,English,Yes
2025-04-22 01:48:00,Mizoram,Aizawl,Police & Public Safety,Very Poor,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. The police response near Aizawl was delayed and the issue needs attention.,Medium,2025-03-12,Malayalam,Yes
