feedback_id,source,timestamp,text,organization,loc,urgency
EM000001,Email,2025-12-24 18:40:00,"There is heavy traffic outside {place} every morning. Vehicles are being parked along both sides of the road, leaving very little space for buses and other vehicles. Dear Sir/Madam, I wanted to bring a problem to your notice regarding a public service issue in Gurugram. There is heavy traffic outside the central junction every morning. Vehicles are being parked along both sides of the road, leaving very little space for buses and other vehicles. Could traffic personnel or the concerned municipal team look into this? Location: Gurugram, Haryana. Thank you for taking the time to read this. Regards, A concerned citizen",,"Gurugram, Haryana",
EM000002,Email,2025-08-18 03:07:00,"Concern regarding The traffic signal at {place} has not been working properly for the last few days. Vehicles from different directions are entering the junction at the same time. Dear Sir/Madam, I wanted to bring a problem to your notice regarding a public service issue in New Delhi. The traffic signal at the main market road has not been working properly for the last few days. Vehicles from different directions are entering the junction at the same time. Please arrange for the signal to be checked. I had also mentioned this to the local office, but I have not received a clear update. Location: New Delhi, Delhi. I hope the department can look into this soon. Regards, A concerned citizen",,"New Delhi, Delhi",
EM000003,Email,2025-02-25 21:17:00,"A pedestrian crossing is badly needed near {place}. School children and older people are crossing between moving vehicles because there is no safe crossing point. Dear Sir/Madam, I am not sure which department handles this, so I am writing here for assistance regarding a public service issue in Pune. A pedestrian crossing is badly needed near the road leading to the government school. School children and older people are crossing between moving vehicles because there is no safe crossing point. I request that the possibility of a marked crossing or other safety measure be considered. Location: Pune, Maharashtra. Kindly let me know what action can be taken. Regards, A concerned citizen",,"Pune, Maharashtra",
EM000004,Email,2025-08-14 07:38:00,"The road near {place} has several potholes and two-wheelers are having to move around them. After the recent rain, the damaged portions have become difficult to see at night. Dear Sir/Madam, I would like to request your help regarding an issue in my locality regarding a public service issue in Gangtok. The road near the central junction has several potholes and two-wheelers are having to move around them. After the recent rain, the damaged portions have become difficult to see at night. Could the road be inspected and repaired before there is an accident? This is not the first time we have faced this problem. Location: Gangtok, Sikkim. Please acknowledge the complaint and advise me on the next step. Regards, A concerned citizen",,"Gangtok, Sikkim",
EM000005,Email,2025-03-27 02:34:00,"There is heavy traffic outside {place} every morning. Vehicles are being parked along both sides of the road, leaving very little space for buses and other vehicles. Dear Sir/Madam, I wanted to check whether someone could look into the following matter regarding a public service issue in Itanagar. There is heavy traffic outside the road leading to the government school every morning. Vehicles are being parked along both sides of the road, leaving very little space for buses and other vehicles. Could traffic personnel or the concerned municipal team look into this? I am mainly looking for a clear update and a practical solution. Location: Itanagar, Arunachal Pradesh. Thank you for taking the time to read this. Regards, A concerned citizen",,"Itanagar, Arunachal Pradesh",
EM000006,Email,2025-12-16 05:57:00,"A street light close to {place} has been out for several nights. The road becomes quite dark after around 7 pm and residents are uncomfortable walking there. Dear Sir/Madam, I wanted to check whether someone could look into the following matter regarding a public service issue in Kolkata. A street light close to the central junction has been out for several nights. The road becomes quite dark after around 7 pm and residents are uncomfortable walking there. Please arrange a repair if this falls under your department. I am attaching no personal documents; I only want the service issue to be addressed. Location: Kolkata, West Bengal. Kindly let me know what action can be taken. Regards, A concerned citizen",,"Kolkata, West Bengal",
EM000007,Email,2025-03-17 00:09:00,"A street light close to {place} has been out for several nights. The road becomes quite dark after around 7 pm and residents are uncomfortable walking there. Dear Sir/Madam, I am contacting your department because I have been facing a problem regarding a public service issue in Chandigarh. A street light close to the main market road has been out for several nights. The road becomes quite dark after around 7 pm and residents are uncomfortable walking there. Please arrange a repair if this falls under your department. Location: Chandigarh, Chandigarh. Please let me know if any additional details are required. Regards, A concerned citizen",,"Chandigarh, Chandigarh",
EM000008,Email,2025-12-09 02:57:00,"A pedestrian crossing is badly needed near {place}. School children and older people are crossing between moving vehicles because there is no safe crossing point. Dear Sir/Madam, I wanted to check whether someone could look into the following matter regarding a public service issue in Kolkata. A pedestrian crossing is badly needed near the junction near the bus stand. School children and older people are crossing between moving vehicles because there is no safe crossing point. I request that the possibility of a marked crossing or other safety measure be considered. Location: Kolkata, West Bengal. Please let me know if any additional details are required. Regards, A concerned citizen",,"Kolkata, West Bengal",
EM000009,Email,2025-10-21 00:03:00,"A street light close to {place} has been out for several nights. The road becomes quite dark after around 7 pm and residents are uncomfortable walking there. Dear Sir/Madam, I would like to request your help regarding an issue in my locality regarding a public service issue in Aizawl. A street light close to our residential lane has been out for several nights. The road becomes quite dark after around 7 pm and residents are uncomfortable walking there. Please arrange a repair if this falls under your department. I am attaching no personal documents; I only want the service issue to be addressed. Location: Aizawl, Mizoram. Please acknowledge the complaint and advise me on the next step. Regards, A concerned citizen",,"Aizawl, Mizoram",
EM000010,Email,2025-11-30 23:36:00,"The traffic signal at {place} has not been working properly for the last few days. Vehicles from different directions are entering the junction at the same time. Dear Sir/Madam, I would like to request your help regarding an issue in my locality regarding a public service issue in Kolkata. The traffic signal at the road leading to the government school has not been working properly for the last few days. Vehicles from different directions are entering the junction at the same time. Please arrange for the signal to be checked. This is not the first time we have faced this problem. Location: Kolkata, West Bengal. Please acknowledge the complaint and advise me on the next step. Regards, A concerned citizen",,"Kolkata, West Bengal",
